senders,throughput,avgFwdDelay
3, 72659,4033984
7, 63268.2,10230596
15, 44157.8,32787379
31, 43666.9,114922952
63, 14062.6,415900016
127, 7197.54,1529168075
3, 72832.5,4099087
7, 64150.9,9013792
15, 44359.1,32101131
31, 25300.8,185573779
63, 19630,343700044
127, 7175.18,1401475639
3, 72498.6,4083795
7, 63373.4,10336464
15, 44237,34366571
31, 26211.1,75722240
63, 14112.9,473650604
127, 7243.82,1341672687
3, 72562.6,3967160
7, 62993.7,10908011
15, 43829.9,32144673
31, 26513,106254612
63, 14048.9,364556345
127, 7238.72,1386978946
3, 72164.7,4422133
7, 62774.2,9726246
15, 43878.8,34199164
31, 26449,104392003
63, 14110.5,471406275
127, 7179.24,1243795847
