senders,efficiency,throughput,avgFwdDelay
3, 0.984205, 1084648.625000, 85250
7, 0.953154, 898663.125000, 353612
15, 0.939503, 474076.062500, 901108
31, 0.902408, 272205.500000, 590413
63, 0.884590, 107623.460938, 4578552
127, 0.901247, 48308.597656, 8916631
3, 0.985277, 1116264.875000, 104957
7, 0.955667, 903343.562500, 267558
15, 0.939339, 473867.906250, 1080233
31, 0.894356, 268350.593750, 2289603
63, 0.889225, 107422.046875, 2528873
127, 0.901856, 50082.968750, 6604282
3, 0.984665, 1091015.125000, 96954
7, 0.957236, 901822.562500, 392939
15, 0.939476, 472357.562500, 698045
31, 0.896385, 270256.031250, 3331591
63, 0.888870, 109527.101562, 6396097
127, 0.896043, 50266.902344, 19313334
3, 0.987398, 1115135.875000, 67756
7, 0.957544, 903242.125000, 152171
15, 0.945186, 473790.000000, 839034
31, 0.904391, 272833.968750, 2165949
63, 0.890372, 108355.109375, 6693073
127, 0.899801, 51263.546875, 20355861
