senders,pvalue,efficiency,throughput,avgFwdDelay
3, 0.333330, 0.997692, 572152.437500, 274424
3, 0.066660, 0.999792, 128346.843750, 592913
3, 0.316660, 0.998235, 555216.250000, 216515
3, 0.566660, 0.994976, 842358.875000, 132123
3, 0.816660, 0.988823, 1001789.687500, 303077
7, 0.142850, 0.998498, 475536.062500, 863224
7, 0.028570, 0.999791, 127525.054688, 3269604
7, 0.278570, 0.994757, 701534.750000, 916301
7, 0.528570, 0.983533, 874695.125000, 511254
7, 0.778570, 0.968856, 887887.937500, 156394
15, 0.066660, 0.998084, 322449.625000, 2550033
15, 0.013330, 0.999716, 93779.851562, 14945864
15, 0.263330, 0.981976, 493427.625000, 832877
15, 0.513330, 0.967809, 483762.500000, 479494
15, 0.763330, 0.951690, 476264.187500, 645413
31, 0.032250, 0.998332, 220455.718750, 4521018
31, 0.006450, 0.999914, 61907.765625, 22779529
31, 0.256450, 0.972974, 287266.125000, 6748416
31, 0.506450, 0.946629, 280877.312500, 3653497
31, 0.756450, 0.922360, 274680.687500, 2713451
63, 0.015870, 0.999087, 105620.648438, 63442539
63, 0.003170, 0.999812, 28514.798828, 49717299
63, 0.253170, 0.973173, 123740.140625, 9492922
63, 0.503170, 0.941179, 116187.507812, 5461532
63, 0.753170, 0.915099, 112073.656250, 6075936
127, 0.007870, 1.000000, 60485.359375, 152578040
127, 0.001570, 1.000000, 14002.198242, 414949528
127, 0.251570, 0.972362, 55270.519531, 39963557
127, 0.501570, 0.948461, 54322.691406, 44641733
127, 0.751570, 0.918996, 52147.347656, 12665803
3, 0.333330, 0.997091, 585424.937500, 517703
3, 0.066660, 0.999631, 130011.843750, 1954826
3, 0.316660, 0.997797, 553370.000000, 673772
3, 0.566660, 0.993790, 840201.500000, 373950
3, 0.816660, 0.989118, 1004136.062500, 476743
7, 0.142850, 0.998147, 477270.406250, 823594
7, 0.028570, 0.999628, 129142.000000, 4470413
7, 0.278570, 0.995235, 714476.312500, 250215
7, 0.528570, 0.983609, 867850.312500, 273884
7, 0.778570, 0.972434, 893529.000000, 194074
15, 0.066660, 0.998375, 324632.406250, 2510585
15, 0.013330, 0.999943, 93395.593750, 7814366
15, 0.263330, 0.982744, 495459.593750, 1425034
15, 0.513330, 0.966824, 479068.625000, 1106700
15, 0.763330, 0.953690, 473764.375000, 769437
31, 0.032250, 0.998543, 219518.562500, 6715695
31, 0.006450, 0.999914, 62174.632812, 40166090
31, 0.256450, 0.974868, 288194.812500, 5079261
31, 0.506450, 0.947813, 281309.656250, 2808886
31, 0.756450, 0.919024, 275678.750000, 987730
63, 0.015870, 0.999437, 104998.070312, 43070700
63, 0.003170, 1.000000, 28372.904297, 219859889
63, 0.253170, 0.970916, 121053.390625, 12308406
63, 0.503170, 0.947998, 121216.593750, 7568442
63, 0.753170, 0.910119, 107846.492188, 12676891
